,name,link,subs,request,views,date
0,ЗАКОННАЯ НЕДВИЖИМОСТЬ СОЧИ ОСОКИН АЛЕКСЕЙ,https://www.youtube.com/channel/UCSjnoPNV8VK7UfuWwDxZ9Mg,11800,дизайнерский ремонт квартир под ключ,995385.0,2016-11-27 00:00:00
1,Verona - Ремонт квартир и ремонт домов,https://www.youtube.com/channel/UCaCJNkb1nEt7Gef8uTy1Q5Q,0,дизайнерский ремонт квартир под ключ,44.0,2020-11-28 00:00:00
2,Проект Групп,https://www.youtube.com/channel/UCKudV_r0_DkfSMECbmMk4uA,0,дизайнерский ремонт квартир под ключ,9092.0,2019-03-25 00:00:00
3,Forcemontage - Ремонт Квартир Ремонт домов,https://www.youtube.com/user/forcemontage,138000,дизайнерский ремонт квартир под ключ,18700880.0,2013-01-25 00:00:00
4,Жена строителя No1 Ремонт квартир в СПБ,https://www.youtube.com/channel/UCIxo8XOeJWJaGgttPmS8amA,23900,дизайнерский ремонт квартир под ключ,2266446.0,2017-04-17 00:00:00
5,m2 development,https://www.youtube.com/channel/UCOfKjnI8DdePJTSbfi8gc-w,0,дизайнерский ремонт квартир под ключ,33460.0,2019-05-01 00:00:00
6,БюроРемонт Дизайн интерьера,https://www.youtube.com/channel/UCV4F0P1GQ2DB-ux2ixt4PCA,35800,дизайнерский ремонт квартир под ключ,258401.0,2017-10-06 00:00:00
7,1 - Ремонт квартир в Севастополе. Братья Кравчук.,https://www.youtube.com/channel/UC82sMYG146SJ7Os55mNCDfg,30100,дизайнерский ремонт квартир под ключ,3719650.0,2013-07-31 00:00:00
8,UDOBNO MOSCOW,https://www.youtube.com/channel/UCbnlXoRK_7DSr15xZxvSImA,0,дизайнерский ремонт квартир под ключ,218.0,2017-02-13 00:00:00
9,Vip Construction,https://www.youtube.com/user/vipconstructionkiev,0,дизайнерский ремонт квартир под ключ,37200.0,2013-07-30 00:00:00
10,Мастер-классы по ремонту квартир,https://www.youtube.com/channel/UCF129vuLoDP1MAFWC8I271g,23800,дизайнерский ремонт квартир под ключ,256018.0,2016-06-07 00:00:00
11,Ремонт квартир под ключ. Юрий Литвин,https://www.youtube.com/channel/UCSUuUsjKg85OHzYUz5-AxsQ,0,дизайнерский ремонт квартир под ключ,5734.0,2015-09-26 00:00:00
12,Ремонт квартир в Москве,https://www.youtube.com/channel/UCq5_ndCtTwI4mPM-f-ah3yA,0,дизайнерский ремонт квартир под ключ,140688.0,2016-12-27 00:00:00
13,Студия дизайна интерьера - ОлимпСтройСервис,https://www.youtube.com/channel/UCDdkF8sZLj3XtazP_K0ADAQ,0,дизайнерский ремонт квартир под ключ,544.0,2020-05-04 00:00:00
14,Дизайнерский ремонт под ключ - сервис ARXNADZOR,https://www.youtube.com/channel/UC8LY797eY2S3tMyZ4ZAPFQA,0,дизайнерский ремонт квартир под ключ,5464.0,2017-07-11 00:00:00
